n,monotonicity,n_local_extrema,argmax_x,argmin_x,phi_range,roughness_l2,phi_mean,phi_std,feature
100.0,0.5151515151515151,2.0,-1.9088484965255343,6.786693450910059,6.682497546731062,0.015857254156648484,0.3837063975524328,1.0448285134381918,cti
100.0,0.8686868686868687,1.0,0.38413200042436335,-3.325697933460718,15.119660532660447,0.009526116881249606,-3.1195560725481015,4.388869020048336,disturb
100.0,0.6161616161616161,1.0,-0.48237423552812464,1.6575513993903168,8.250511968655065,0.011875206143817867,-0.6924089770124056,2.0412207051543856,mi
100.0,1.0,0.0,7.118623445176816,-2.3868491715588354,32.771393529187506,0.01937281953475634,6.156919849364459,8.56873926333181,rainann
100.0,0.7777777777777778,1.0,-0.18762327485236607,7.176510922927923,8.845409905650527,0.02076919900172679,-2.3146076824580226,2.2842598613607956,raindq
100.0,0.7373737373737373,2.0,5.45090994397793,1.1172961865432325,7.588566250535639,0.010057901173280193,1.0565364656981615,2.0263851301511764,rugged
100.0,0.8181818181818181,1.0,-4.97348284016057,2.7369426162991326,12.058613437284954,0.022511614934329623,1.5160615914297184,3.1680528908413303,soildepth
100.0,0.5454545454545454,1.0,2.7838380953957436,0.5541430148549193,2.756352832561266,0.002148501543080822,0.16226922733053578,0.8196999982932952,soilfert
100.0,1.0,0.0,30.837841612967633,-8.096302196718655,4.2493686898367855,0.006871082153127563,0.5993832342493658,0.9239107177990485,solrad
100.0,0.7575757575757576,2.0,1.6949972466351575,-2.9299649342030816,6.5154681024738785,0.00622790554737938,-0.30544844426082657,1.3490901869789365,tempann
100.0,0.5757575757575757,1.0,-9.207010839719336,0.39229658279080937,11.985233449993869,0.009952895500381925,2.6792043889478405,3.1103001471725906,topo
