x_scaled,x_raw,phi,in_train_support
-6.695835328986046164e+00,2.463863260529996069e+01,1.720514614797868447e+01,0.000000000000000000e+00
-6.613621129463775894e+00,2.814911944286967582e+01,1.682383797636921940e+01,0.000000000000000000e+00
-6.531406929941505624e+00,3.165960628043939096e+01,1.646668628682888169e+01,0.000000000000000000e+00
-6.449192730419235353e+00,3.517009311800904925e+01,1.613243143724658069e+01,0.000000000000000000e+00
-6.366978530896965083e+00,3.868057995557876438e+01,1.581981378551117778e+01,0.000000000000000000e+00
-6.284764331374694812e+00,4.219106679314847952e+01,1.552757368951156813e+01,0.000000000000000000e+00
-6.202550131852424542e+00,4.570155363071813781e+01,1.525445150713663978e+01,0.000000000000000000e+00
-6.120335932330154272e+00,4.921204046828785295e+01,1.499918759627527365e+01,0.000000000000000000e+00
-6.038121732807884001e+00,5.272252730585756808e+01,1.476052231481635602e+01,0.000000000000000000e+00
-5.955907533285613731e+00,5.623301414342725479e+01,1.453719602064876959e+01,0.000000000000000000e+00
-5.873693333763343460e+00,5.974350098099694151e+01,1.432794907166140419e+01,0.000000000000000000e+00
-5.791479134241072302e+00,6.325398781856668506e+01,1.413152182574313898e+01,0.000000000000000000e+00
-5.709264934718802920e+00,6.676447465613634336e+01,1.394665464078286377e+01,0.000000000000000000e+00
-5.627050735196531761e+00,7.027496149370605849e+01,1.377208787466946127e+01,0.000000000000000000e+00
-5.544836535674261491e+00,7.378544833127577363e+01,1.360656188529182131e+01,0.000000000000000000e+00
-5.462622336151991220e+00,7.729593516884546034e+01,1.344881703053881949e+01,0.000000000000000000e+00
-5.380408136629720950e+00,8.080642200641514705e+01,1.329759366829935097e+01,0.000000000000000000e+00
-5.298193937107450679e+00,8.431690884398483377e+01,1.315165273022149961e+01,0.000000000000000000e+00
-5.215979737585180409e+00,8.782739568155454890e+01,1.301022834441501175e+01,0.000000000000000000e+00
-5.133765538062910139e+00,9.133788251912423561e+01,1.287302783545129614e+01,0.000000000000000000e+00
-5.051551338540639868e+00,9.484836935669392233e+01,1.273977910166096272e+01,0.000000000000000000e+00
-4.969337139018369598e+00,9.835885619426363746e+01,1.261021004137462143e+01,0.000000000000000000e+00
-4.887122939496099328e+00,1.018693430318333242e+02,1.248404855292288218e+01,0.000000000000000000e+00
-4.804908739973829057e+00,1.053798298694030109e+02,1.236102253463635847e+01,0.000000000000000000e+00
-4.722694540451558787e+00,1.088903167069727260e+02,1.224085988484565668e+01,0.000000000000000000e+00
-4.640480340929288516e+00,1.124008035445424127e+02,1.212328850188139029e+01,0.000000000000000000e+00
-4.558266141407018246e+00,1.159112903821120995e+02,1.200803628407416390e+01,0.000000000000000000e+00
