n,monotonicity,n_local_extrema,argmax_x,argmin_x,phi_range,roughness_l2,phi_mean,phi_std,feature
100.0,0.5252525252525253,4.0,4.048517501332695,0.43098306725882307,2.5550963883339444,0.01485033571242857,0.2049095412844477,0.7529839082566319,bcc
100.0,0.6464646464646465,5.0,-0.32106356079033,-0.6234433094827224,2.807956619948093,0.02643541031522491,0.9624642602520749,0.39803577184235417,ccc
100.0,0.5757575757575757,3.0,-0.7179996642849733,2.454475649323479,25.297910709706294,0.04063935355739869,-3.610679966759108,6.61877462029345,ddeg
100.0,0.6868686868686869,3.0,0.8804870276209558,3.690538567861624,11.137063655763072,0.007489868174810699,-2.132597724886833,3.246294818334958,nutri
100.0,0.797979797979798,2.0,4.079829411795693,-3.609043529342971,17.410581172956398,0.0178941297855984,1.0938560211036632,3.528454618203806,pday
100.0,0.8585858585858586,1.0,-1.8394731988516722,4.101754479857668,20.992675100542968,0.020834131354766094,-2.4149669164265983,5.282255580957787,precyy
100.0,0.5555555555555556,1.0,12.27053172284677,-0.5603299526452593,8.882741899493283,0.01949875363957201,5.866292296702881,1.8630729814113391,sfroyy
100.0,0.9393939393939394,2.0,-1.3747447274303806,4.133353234717597,7.517022774132379,0.0073865297633445995,-1.214959970119787,1.559574063003482,slope
100.0,0.6161616161616161,4.0,1.8622545819655225,-3.9472040389061696,3.434951340793368,0.007298746037041293,0.052107292460509845,0.5241699889472095,sradyy
100.0,0.8888888888888888,1.0,0.8479681314142304,-7.036380376525923,11.818112194876637,0.020009180717006428,-4.9828606154947,4.2419433094718,swb
100.0,0.7676767676767676,2.0,11.279947267688582,-12.3908395320923,6.398535725965279,0.005265443741122013,0.8523191361006849,1.4103755473880188,topo
